leno	pappone, magnaccia, lenone, ruffiano, protettore, prosseneta, paraninfo	chulo, proxeneta	souteneur, proxénète, jules, maquereau, ruffian, mac	pimp, mac, pander, fleshmonger, ponce, whoremonger	紐, 女衒, ポン引き
Leo	Leone	Leo	Lion	Leo	獅子座, しし座
leo	leone	león	lion	lion	ライオン, 獅子
Leodium	Liegi	Lieja	Liège	Liège	
lepra	lebbra	lepra	maladie de Hansen, lèpre	leprosy, HD, Hansen's disease	ハンセン病
leprosus	lebbroso	leproso, leprosa	lépreux	leprous	
lepton	leptone	leptón	lepton	lepton	レプトン
letum	morte	muerte	mort	death, dead	死, 死亡
Lex	legge	ley	loi	law	法律
lexicographus	lessicografo			lexicographer	
Libanus	Libano	Líbano	Liban, République libanaise, pays du Cèdre, pays du cèdre	Lebanon, Lebanese Republic	レバノン
libenter	prego, di niente, non c'è di che, con piacere	de nada	de rien, il n'y a pas de quoi, je vous en prie, pas de quoi, bienvenue, je t’en prie, ça me fait plaisir, service, je t'en prie, avec plaisir	you're welcome, no problem, it was nothing, don't worry about it, my pleasure	どういたしまして, いいえ
liber	libro	libro	livre	book	本
Liburnia	Liburnia		Liburnie	Liburnia	
Lichtenstenum	Liechtenstein, Principato del Liechtenstein	Liechtenstein, Principado de Liechtenstein	Liechtenstein, principauté de Liechtenstein	Liechtenstein, Principality of Liechtenstein	リヒテンシュタイン
lien	milza	bazo	rate, lien	spleen	脾臓
Ligures	Liguri		Ligures	Ligures	
Liguria	Liguria	Liguria	Ligurie	Liguria	
lilium	giglio	azucena	lys	lily	ユリ, 百合
limbo ornare	orlare	cocer el dobladillo, repulgar, hacer dobladillo	faire un ourlet, ourler, coudre un ourlet	hem	
limen	soglia	umbral	seuil	threshold, sill	
lineus		de lino		flaxen	
lingua	lingua, linguaggio; lingua, lingua; lingua	entidad lingüística, lengua, idioma; idioma, lengua, lenguaje; lengua	entité linguistique, langue; langue; langue	linguistic entity, language; language; tongue	言語; 言語; 舌, べろ
lingua Anglica	inglese, Inglese	inglés	anglais	English	英語
lingua Arabica	arabo, Arabo	árabe	arabe, arabe standard moderne, arabe standard, arabe littéral	Arabic, Standard Arabic	アラビア語
lingua artificiosa	lingua artificiale	lengua construida, lengua planificada, idioma artificial, ideolengua, conlang	langue construite, langue artificielle	constructed language, artificial language, conlang, planned language	人工言語
lingua Coptica	Copto	copto	copte	coptic, Coptic, Coptic Egyptian	
Lingua Esperantica	esperanto	Esperanto, esperanto	espéranto	Esperanto, Esperanto	エスペラント, エスペラント語
lingua Francogallica	francese, Francese	francés	français	French, French	フランス語
lingua Germana	tedesco	alemán	allemand	German	ドイツ語, 独語
lingua Italica	italiano, Italiano	italiano	italien	Italian, Italian	イタリア語
Lingua Izhorica	Lingua ingrica	ingrian	ingrien	Ingrian	イングリア語
lingua Latina	latino, Latino	latín	latin	Latin, Latin	ラテン語
lingua Lusitana	portoghese, Portoghese	Portugués, portugués	portugais	Portuguese, Portuguese	ポルトガル語
lingua Luxemburgica	lussemburghese	luxemburgués, luxemburguès	Luxembourgeois, luxembourgeois	Luxembourgish, Luxemburgish, Luxembourgian	ルクセンブルク語
lingua media latinitatis	Latino medievale	Latín Medieval	latin médiéval	Medieval Latin	中世ラテン語
lingua Sinica	cinese	chino	chinois	Chinese	中国語
Lingua Slavonica antiqua		antiguo eslavo, antiguo búlgaro, lengua litúrgica eslavona	slavon d'église, slavon liturgique, vieux slave, vieux bulgare, slavon ecclésiastique	Church Slavic, Old Church Slavonic, Old Bulgarian, Old Macedonian, Old Bulgarian, Church Slavic, Old Macedonian, Old Bulgarian, Old Church Slavic	古代教会スラヴ語, 教会スラブ語
Lingua Toki Pona	Toki Pona	toki pona	toki pona	Toki Pona	トキポナ
Lingua Zamenhofiana	esperanto	Esperanto, esperanto	espéranto	Esperanto, Esperanto	エスペラント, エスペラント語
linguistica	linguistica	lingüística	linguistique	linguistics	言語学
linteum	pannolino	pañal	couche	nappy, diaper, napkin	おむつ
linum	lino comune, lino	lino	lin cultivé	flax, common flax, linseed	アマ
lithium	litio	litio	lithium	lithium	リチウム
litus	spiaggia	playas, playa	plage	beach, strand	砂浜
loculus	cassetto	cajón, gaveta	tiroir	drawer	引き出し, 引出し
locus	luogo, posto	lugar, ubicación, sitio, localidad	lieu, endroit	place, location, situation	場所, 位置
locus peditibus pervius	attraversamento pedonale, strisce pedonali, strisce, attraversamento zebrato	paso de cebra, paso de peatones	passage zébré, passage piéton, passage piétons, passage clouté, passage clouté, passage piéton, passage piétons	zebra crossing, pedestrian crossing, crosswalk, crossing, crossing, crosswalk, pedestrian crossing	横断歩道
locusta marina	aragosta, astice, aragosta	langosta	homard	lobster	ロブスター
logarithmus	logaritmo	logaritmo	logarithme	logarithm	対数
longus	lungo	largo, larga	long	long	長い
loquor	dire, affermare, enunciare, raccontare	decir, manifestar	dire	say, tell, state	言う
Lorica	usbergo	cota de malla	haubert	hauberk, chain shirt	
Lucerna	lampada	lámpara, luminaria	lampe, luminaire	lamp, light	ランプ, 明かり
lucunculus	frittella, pancake	panqueque, crepe, tortita	crêpe	pancake	ホットケーキ
ludo	giocare	jugar	jouer	play	遊ぶ
ludus electronicus	videogioco, gioco elettronico	videojuego	jeu vidéo, ludiciel	video game	テレビゲーム, ビデオゲーム
ludus visualis	videogioco, gioco elettronico	videojuego	jeu vidéo, ludiciel	video game	テレビゲーム, ビデオゲーム
Lugdunum	Lione	Lyon	Lyon	Lyon	
lumbricus	lombrichi, lombrico	ombrices de tierra, lombriz de tierra	lombric, ver de terre	earthworm	蚯蚓, ミミズ
lumen	luce	luz	lumière	light	光
lupa	lupa	loba	louve	bitch, she-wolf	
lupanar	casa di tolleranza, lupanare, postribolo, casa chiusa, casa d'appuntamenti, bordello	burdel	bordel, maison de joie, maison close, bazar	brothel, whorehouse, bordello	売春宿
lupus	lupo; luppolo	lobo; lúpulo	loup; houblon, houblon grimpant, couleuvrée septentrionale, bois du diable, vigne du Nord, salsepareille indigène	wolf; hops, common hop, hop	狼; ホップ
Lutetia	Parigi	París	Paris	Paris	パリ
lutetium	lutezio	lutecio	lutétium, lutécium	lutetium, cassiopeium	ルテチウム
lux	luce; giorno	luz; día, jornada	lumière; jour, journée	light; day	光; 日
Luxemburgum	Lussemburgo; Lussemburgo	Luxemburgo; Luxemburgo	Luxembourg, Grand-Duché de Luxembourg; Luxembourg	Luxembourg, Grand Duchy of Luxembourg; Luxembourg	ルクセンブルグ; ルクセンブルク
luxus	lusso	lujo	luxe	luxury	贅沢
lynx	lince	lince	lynx	lynx	
lyra	lira; liuto	lira; laúd	lyre; luth	lyre; lute	ライアー; リュート
lēnō	pappone, magnaccia, lenone, ruffiano, protettore, prosseneta, paraninfo	chulo, proxeneta	souteneur, proxénète, jules, maquereau, ruffian, mac	pimp, mac, pander, fleshmonger, ponce, whoremonger	紐, 女衒, ポン引き
lībra	bilancia, stadera	báscula, balanza	balance	scale, scales, weighing scale, balance	秤, 天秤
lōdix	coperta, coltre	manta	couverture	blanket	毛布
machinula cafearia	macchina per il caffè, macchinetta per il caffè, caffettiera	percolador, cafetera	percolateur	coffee percolator	
maestus	triste, infelice, rattristato	triste, afligido, apesadumbrado, infeliz	triste, affligé, morne, attristé, chagrin, peiné, chagriné	sad, unhappy, doleful, dolorous	悲しい
magia	magia		magie	magic	
magister	insegnante	maestro, profesor, maestra, profesora	professeur	teacher	先生
Magister	professore	profesor, profesora	professeur	professor	先生, 教授
magistra	insegnante, docente	maestra, profesora	professeure, professeur	female teacher	
magnetica acus nautica	bussola	brújula	boussole	compass	
magnus	grande, enorme, grande; magno; grande	grande, muy grande, enorme; magno, gran, gran; gran, ilustre, célebre, grande	grand; grand; grand	great; great; great	; ; 偉い
Maiestix	Abraracourcix	Abraracourcix, Abraracúrcix	Abraracourcix	Vitalstatistix	
Maiotta	Mayotte	Mayotte	Mayotte	Mayotte	マヨット
maius	maggio	mayo	mai	May	五月, 皐月, 5月
Maius	maggio	mayo	mai	May	五月, 皐月, 5月
Malaca		Málaga	Malaga	Málaga	マラガ
Malaesia	Malesia	Malasia	Malaisie	Malaysia	マレーシア
malevolentia	melavolenza, malevolenza	malevolencia		malevolence	
malleus	martello; martello	martillo; martillo	marteau; marteau	hammer; hammer, malleus	金槌; 
malum	mela	manzana	pomme	apple	林檎, リンゴ
malum sinense	arancia	naranja	orange	orange	オレンジ, 橙
malus	melo	manzano	pommier	apple, apple tree	林檎の木, リンゴの木
mamilla	capezzolo	pezón, niple	mamelon, téton	nipple, papilla	乳首, 乳頭, ニップル
mamma	seno	pecho, teta, seno, mama	sein, nichon, néné, loloche	breast, bust, tit	乳房, おっぱい
mammiferus	mammifero; mammiferi, mammifero	mamífero; mamíferos, mamífero	mammifère; mammifère	mammal; mammal, mammalian	; 哺乳類, 哺乳動物, 哺乳類
mandibula	mandibola	mandíbula	mandibule	mandible, mandibula, dentary bone, inferior maxillary bone, submaxilla, jawbone	
mandioca	manioca	yuca, casabe, casava, mandioca	manioc	cassava, manioc	キャッサバ
mandragora	mandragora	mandragora, mandrágora	mandragore	mandrake	マンドラゴラ
mane	mattina	mañana	matin, matinée	morning, morrow	午前
manganum	manganese	manganeso	manganèse	manganese	マンガン
manica	; manica	mánica; manga	manique; manche	manica; sleeve	; 袖, スリーブ
manicae	manette	esposas	menottes, pinces, bracelets	manacle, handcuffs	手錠
mantele	asciugamano	toalla	serviette	towel	タオル
manticulator	borsaiolo, borseggiatore, tagliaborse	ratero, carterista, escamoteador	pickpocket	pickpocket, pick-pocket	すり
manus	mano	mano	main	hand	手
manuscriptum	manoscritto	manuscrito	manuscrit	manuscript	写本
manutergium	asciugamano	toalla	serviette	towel	タオル
Marcus Vitruvius Pollio	vitruvio, Vitruvio	Vitruvio		Vitruvius	
Mare Aegaeum	Mar Egeo	Mar Egeo, mar Egeo	mer Égée	Aegean Sea	エーゲ海
Mare Asoviense	Mar d'Azov	Mar de Azov, mar de Azov		Sea of Azov	
Mare Balticum	mar Baltico	mas Báltico, mar Báltico, Báltico	mer Baltique	Baltic Sea, Baltic	バルト海
Mare Caribaeum	Mar Caraibico, Mar dei Caraibi	Mar Caribe	mer des Caraïbes, mer des Antilles	Caribbean Sea	カリブ海
Mare Germanicum	Mar del Nord	Mar del Norte	Mer du Nord	North Sea	北海
Mare Hadriaticum	Mare Adriatico, Adriatico	Mar Adriático, Adriático	Mer Adriatique	Adriatic Sea	アドリア海
Mare Ionium	Mar Ionio	mar Jónico	mer Ionienne	Ionian Sea	イオニア海
Mare Mediterraneum	Mar Mediterraneo, Mediterraneo	Mar Mediterráneo, Mediterráneo	Mer méditerranée, Mediterranée	Mediterranean Sea, Mediterranean	地中海
Mare Nostrum	Mar Mediterraneo, Mediterraneo	Mar Mediterráneo, Mediterráneo	Mer méditerranée, Mediterranée	Mediterranean Sea, Mediterranean	地中海
Mare Tyrrhenum	Mar Tirreno, Mare Tirreno	mar Tirreno, Mar Tirreno		Tyrrhenian Sea	ティレニア海
maritus	marito, compagno	marido, esposo, cónyuge	mari, époux	husband, spouse	夫
Martinica	Martinica	Martinica	Martinique	Martinique	マルティニーク
Martius	marzo	marzo	mars	March	三月, 弥生, 3月
maternus	materno	materno, materna	maternel	maternal	母性, 母方の
mathēmatica	matematica	matemática, matemáticas	mathématiques	mathematics	数学
matricida	matricida		matricide	matricide	
matricidium	matricidio	matricidio	matricide	matricide	
matrimonium	matrimonio	matrimonio	mariage, épousailles	marriage, matrimony, wedlock	結婚
Matrona	Marna	Marne	Marne	Marne	
matutina tempora	mattina	mañana	matin, matinée	morning, morrow	午前
matutinum	mattina	mañana	matin, matinée	morning, morrow	午前
Mauretania	Mauritania	Mauritania	Mauritanie	Mauritania, Islamic Republic of Mauritania	モーリタニア
Mauritia	Maurizio	Mauricio	Maurice	Mauritius, Republic of Mauritius	モーリシャス
maxilla	osso mascellare	maxilar, maxila, maxilar superior	os maxillaire	maxilla	
mediaevalis	medievale	madieval, medieval	médiéval, moyenâgeux	medieval, mediæval	
medicus	medico, dottore	médico, doctor, médica, doctora	docteur, médecin, toubib	doctor, physician, medical doctor	医者
Meduana	Mayenne	Mayenne	Mayenne	Mayenne	マイエンヌ県
medulla spinalis	midollo spinale	médula espinal	moelle épinière, moelle spinale	spinal cord, spinal marrow	脊髄
meitnerium	meitnerio	meitnerio	meitnerium	meitnerium	マイトネリウム
mel	miele	miel	miel	honey	蜂蜜
melius	miglioramento	mejora, avance	amélioration	enhancement, improvement, augmentation	改良
melodia	melodia, linea melodica	melodía, ton, cuerda, cuerda	mélodie, air, ligne mélodique, phrase mélodique	melody, tune, air, line, strain, melodic line, melodic phrase	メロディ, メロディー, 旋律
melongena	melanzana; melanzana	berenjena; berenjena	aubergine; aubergine, mélongène, mélongine, albergine, ambergine, beringène, bréhéme, bringèle, marignan, mayenne, melanzane, mérangène, méringeane, verinjeane, viadase	brinjal, aubergine, eggplant; aubergine, eggplant, brinjal	茄子; 茄子
memoria	memoria	memoria	mémoire	memory	記憶
mendacis	bugiardo, mentitore	mentiroso	menteur	liar	嘘つき
mendacium	mentire, bugia, menzogna, frottola, baggianata, fola, balla, fandonia	mentira, embuste, falsedad	mensonge, histoire, craque, histoires, bobard, boniments, menterie, boniment	lie, prevarication, untruth, falsehood	うそ, 虚言, きょげん, 嘘
mendax	bugiardo, mentitore	mentiroso	menteur	liar	嘘つき
mendelelevium	mendelevio	mendelevio	mendélévium	mendelevium	メンデレビウム
mensis	mese	mes	mois	month	月
menstruatio	mestruazione	período, regla, periodo, menstruación	règles, menstruation, période, période menstruelle, menstrues, ménorrhée, mois, époques, affaires	period, menstruation, menses, menorrhea, menorrhoea, menstrual period, monthlies	
menstruus	mensile	mensual	mensuel	monthly	
mentiri	mentire	mentir	mentir, faire accroire	lie, liegen, prevaricate	嘘をつく
mentum	mento	barbilla, mentón	menton	chin, mentum	顎
mercatus	mercato	mercado	marché	market, marketplace	市場
Mercenarius	bracciante	jornalero	journalier	labourer	
meretrix	prostituta, puttana, meretrice	prostituta, zorra, lagarta, lagartona, pendón, pendona	prostitué, putain, pute, prostituée, fille de joie, fille publique, péripatéticienne, catin, grue	prostitute, whore, harlot, strumpet, hooker, trollop, hussy	売春婦
mergulus	stoppino, lucignolo	mecha	mèche	candlewick, candle wick, wick	ろうそくの芯
meridies	mezzogiorno; sud	mediodía; sur	midi; sud	midday, noon; south	正午, しょうご; 南
meschita	moschea	mezquita	mosquée	mosque	モスク
messis	mietitura, messe	cosecha	récolte	harvest	
metere	raccogliere, mietere	cosechar	recolter, récolter	harvest, reap	収穫する
meus	mio	mi	mon, ma	my	
Mexicopolis	Città del Messico	México, ciudad de México, Ciudad de México	Mexico	Mexico City, Mexico City	メキシコシティ
Mexicum	Messico	México	Mexique	Mexico, United Mexican States	メキシコ
mihi īgnōsce	scusi, scusa, mi scusi, mi scuso, spiacente	lo siento, discúlpame, perdóname	Je suis desolée, pardon, je suis désolé, excusez-moi, désolé, excuse-moi	sorry	すみません, ごめんなさい
millennium	millennio	milenio	millénaire	millennium	千年間, 千年期, 千年紀
milliarium	pietra miliare	piedra miliar	borne milliaire	milliarium	
mingere	urinare, orinare, pisciare, fare pipì, fare la pipì	orinar, hacer pipí	uriner, pisser, faire pipi, lansquiner, lâcher de l'eau	urinate, pee, micturate, piss, tinkle, wee, make	
minor	minore	menor		junior, younger	ジュニア
mirificus casus	avventura	aventura	aventure	adventure	冒険
miscere	mischiare, mescolare	mezclar	mélanger	mix	まぜる
missiōnārius	missionario	misionero	missionnaire	missionary	宣教師
Mogolia	Mongolia	Mongolia	Mongolie	Mongolia	モンゴル
molestare	molestare, tormentare			torment, make suffer	
Monapia	Isola di Man, Mann, Manx	Isla de Man	île de Man, ile de Man	Isle of Man, Isle of Mann, Mann	マン島
moneta	moneta	moneda, cambio	monnaie, pièce de monnaie, pièce	money, coin, change	硬貨
monile	collana	collar, cadena, collar	collier	necklace	ネックレス, 首飾り
monogamia	monogamia	monogamia	monogamie	monogamy	一夫一婦, 一夫一婦制
mons	montagna, monte	montaña, monte	montagne, mont	mountain	山, 山岳
mons ignifer	vulcano; vulcano	volcanes, volcán; volcán	volcan; volcan	volcano; volcana, volcano	火山; 火山
Mons Leoninus	Sierra Leone	Sierra Leona	Sierra Leone, République de Sierra Leone	Sierra Leone	シエラレオネ
monstrare	mostrare, presentare	mostrar, presentar, indicar, revelar	montrer, présenter	show, display, present, reveal, indicate	見せる, 示す, 表す
Montserrat	Monserrat	Montserrat	Montserrat	Montserrat	モントセラト
morbus	malattia, disturbo, disfunzione	enfermedades, enfermedad, afección, dolencia, mal	maladie	disease, illness, affliction, sickness, malady, ailment, disorder, affliction	病気, 疾患
morbus Alzheimer	morbo di Alzheimer	enfermedad de Alzheimer, Alzheimer	maladie d'Alzheimer	Alzheimer's disease, Alzheimers, Alzheimer	アルツハイマー病
mors	morte; morte	muerte, desaparición, fallecimiento, defunción; muerte	décès, mort; mort	case of death, event of death, death, fatality; death, dead	死; 死, 死亡
Moscua	Mosca	Moscú	Moscou	Moscow	モスクワ
moveo	muoversi	moverse	se mouvoir, se déplacer, bouger	move	動く
mugio	muggire, mugghiare	mugir	meugler	moo	
mulier	donna	mujer	femme, meuf, gonzesse, nana, bonne femme	woman, female	女, 女
multo	molto	mucho	beaucoup, bien	far, much	
multus	molto	mucho	beaucoup, bien	far, much	
mundus	pulito; mondo	limpio; mundo, humanidad	propre; monde	clean; world	綺麗な, 清潔な; 世界, 世
munus	regalo, dono, presente	regalo, obsequio, presente	cadeau, présent, don	gift, present	贈り物, プレゼント, ギフト
murinus	murino		murin	murine	
Muscovia	Mosca	Moscú	Moscou	Moscow	モスクワ
musculus masseter	massetere		muscle masséter, masséter	masseter, masseter muscle	
musculus orbicularis oris	muscolo orbicolare della bocca		muscle orbiculaire des lèvres, muscle orbiculaire de la bouche	kissing muscle, orbicularis oris	
musica	musica	música	musique	music	音楽
mutatio	resto, cambio	cambio, efectivo	monnaie	change	お釣り, つり銭, 小銭
mycologus	micologista	micólogo	mycologiste, mycologue	mycologist	
mydriasis	midriasi	midriasis	mydriase	mydriasis	
myon	muone	muón	muon	muon	ミュー粒子
mystax	baffi, baffo	bigote	moustache, bacchante, charmeuses	moustache, whisker	口ひげ, 口髭
mysterium	mistero	misterio, enigma	mystère	mystery	ミステリー
māchina	meccanismo	mecánica, mecanismo	mécanique, mécanisme	mechanism	機構
māius	maggio	mayo	mai	May	五月, 皐月, 5月
mārtius	marzo	marzo	mars	March	三月, 弥生, 3月
mātertera	zia	tía	tante, tatie	aunt, aunty, auntie	おば, 叔母, 伯母
mīlia	mille	mil	mille	thousand	千
mīlle	mille	mil	mille	thousand	千
mōns	montagna, monte	montaña, monte	montagne, mont	mountain	山, 山岳
mūs	topo, sorcio	ratón	souris	mouse	鼠
Nabuchodonosor	Nabucodonosor, Nabucco	Nabucodonosor II, Nabucodonosor, Nabucodonosor el Grande	Nabuchodonosor II, Nabuchodonosor, Nebucadnetsar	Nebuchadnezzar II, Nebuchadnezzar	
naevus	neo	lunar	tache de naissance, môle, grain de beauté, naevus mélanocytaire, lentigo, nævus, nævus mélanocytaire, point de beauté	mole, nevus, naevus, nævus	ほくろ
nanciscor	trovare, imbattersi, scoprire, realizzare	encontrar, hallar, descubrir	trouver	find, come across, bump, encounter	見つける
Narbo	Narbona	Narbona	Narbonne	Narbonne	ナルボンヌ
Narbo Martius	Narbona	Narbona	Narbonne	Narbonne	ナルボンヌ
nare	nuotare	nadar	nager	swim	泳ぐ
naris	narice	nariz, narina	sierain, narine, naseau, trou de nez	nostril, naris, nosehole	鼻孔
nascentia	parto, nascita, mettere al mondo	parto, nacimiento, nacimiento, nacimiento	accouchement, naissance, parturition, naissance, mise-bas, naissance, mise-bas	childbirth, birth, parturition, childbirth, birth, childbirth, birth	出産
nasciturus	prenatale, prénatal, nascituro; 	prenatal; 	prénatal, anténatal; 	prenatal, unborn, antenatal; 	
nasus	naso	nariz	nez, pif	nose	鼻, はな
nata	figlia	hija	fille	daughter	娘
natare	nuotare	nadar	nager	swim	泳ぐ
nativitas	parto, nascita, mettere al mondo	parto, nacimiento, nacimiento, nacimiento	accouchement, naissance, parturition, naissance, mise-bas, naissance, mise-bas	childbirth, birth, parturition, childbirth, birth, childbirth, birth	出産
natrium	sodio	sodio	sodium	sodium	ナトリウム
naturae sacra	mistero	misterio, enigma	mystère	mystery	ミステリー
natus	età	edad	âge	age	年齢
naumachia	naumachia	naumaquia	naumachie	naumachia	模擬海戦
nauta	marinaio	marinero, marino	matelot, marin	sailor, seaman, mariner, seafarer	船員, 水夫, 船乗り, 水兵, セーラー
navigatrum	browser web, browser, navigatore	navegador web, browser, navegador	navigateur, navigateur Web, navigateur Internet, butineur, brouteur, arpenteur, fouineur, fureteur, navigateur web	browser, web browser, Web browser, web-browser	ウェブブラウザ, インターネットブラウザ, WWWブラウザ, ブラウザ
navis actuaria	veliero	barco de vela, velero, embarcación a vela	navire à voile, voilier	sailing ship, sailing vessel, sail	帆船
Neapolis	Napoli	Nápoles	Naples	Naples	ナポリ
nebrundines	testicolo, palla	testículo	testicule, couille, gosse	testicle, ball, nut, testis, orchis, ballock, bollock, egg	睾丸, 金玉, 精巣, ホーデン, 陰核, タマキン, きんたま
nebula	nebbia; nebulosa	niebla, bruma; nébula, nebulosa	brouillard; nébuleuse	fog; nebula	霧; 星雲
nefrones	testicolo, palla	testículo	testicule, couille, gosse	testicle, ball, nut, testis, orchis, ballock, bollock, egg	睾丸, 金玉, 精巣, ホーデン, 陰核, タマキン, きんたま
neodymium	neodimio	neodimio	néodyme	neodymium	ネオジム
Neoplatonismus	neoplatonismo	neoplatonismo	néoplatonisme	Neoplatonism, Neo-Platonism	ネオプラトニズム
nephrologia	nefrologia	nefrología	néphrologie	nephrology	腎臓学, 腎臓病学
neptunium	nettunio	neptunio	neptunium	neptunium	ネプツニウム
Neptunus	Nettuno; Nettuno	Neptuno; Neptuno	Neptune; Neptune	Neptune; Neptune	海王星; ネプトゥーヌス
neutron	neutrone	neutrón	neutron	neutron	中性子
newton	newton	newton	newton	newton	ニュートン
niccolum	nichel	níquel	nickel	nickel	ニッケル, 白銅
niger	nero; nero	negro, negra; negro	noir; noir	black; black	黒, くろ; 黒い
nihil est	prego, di niente, non c'è di che, con piacere	de nada	de rien, il n'y a pas de quoi, je vous en prie, pas de quoi, bienvenue, je t’en prie, ça me fait plaisir, service, je t'en prie, avec plaisir	you're welcome, no problem, it was nothing, don't worry about it, my pleasure	どういたしまして, いいえ
nimbus	nimbo; 	nimbo, aureola, halo; nimbo	nimbe; nimbus	nimbus; nimbus	後光; 雨雲
niobium	niobio	niobio, columbio	niobium	niobium	ニオブ
nitrogenium	azoto	nitrógeno	azote	nitrogen, azote	窒素
nix	neve	nieve	neige	snow	雪, ゆき
nobelium	nobelio	nobelio	nobélium	nobelium	ノーベリウム
Nobilitas	nobiltà	nobleza	noblesse	nobility	
noctua	civetta	búho, lechuza	chouette, hibou, strigiforme, hibou	owl	フクロウ, 梟
nomen	; nome, nome proprio	; nombre, denominación	; nom, nom propre	; name, proper name, proper noun	; 名前, 固有名詞
nomen substantivum	nome, sostantivo	sustantivo	substantif, nom, substantiivi	noun, substantive	名詞
nominativus	caso nominativo	nominativo, caso nominativo	cas nominatif, cas sujet	nominative case, nominative, subjective case	主格
nomisma	medaglia, decorazione	medalla	médaille	decoration, medal	メダル
non	non	no	ne pas	not	
nonaginta	novanta	noventa, 90	quatre-vingt-dix, 90, nonante	ninety	九十
nongenti	novecento	novecientos	neuf cents, neuf-cents	nine hundred	
nonnunquam	talvolta, qualche volta, a volte	a veces	parfois, quelquefois, des fois, de temps en temps, de temps à autre, occasionnellement	sometimes	時々
nonum	nono	noveno	neuvième	ninth, 9th	
nonus	nono, 9º	noveno, 9º	neuvième, 9ème	ninth, 9th	九番目
Norimberga	Norimberga	Núremberg	Nuremberg	Nuremberg	ニュルンベルク
Norma	legge	ley	loi	law	法律
nosocomium	ospedale, clinica	hospital, clínica	hôpital, hosto	hospital, clinic, sickhouse	病院, 医院
nosocomīum	ospedale, clinica	hospital, clínica	hôpital, hosto	hospital, clinic, sickhouse	病院, 医院
notabiliter	notevolmente, notabilmente	notablemente	notamment, notablement	notably	
Nova Aurelia	New Orleans	Nueva Orleans	Nouvelle-Orléans	New Orleans	ニューオーリンズ
Nova Caledonia	Nuova Caledonia	Nueva Caledonia	Nouvelle-Calédonie, Kaledonia Berria	New Caledonia	ニューカレドニア
novem	nove	nueve	neuf	9, nine	九
november	novembre	noviembre	novembre	November	十一月, 霜月, 11月
November	novembre	noviembre	novembre	November	十一月, 霜月, 11月
noverca	matrigna	madrastra	belle-mère, marâtre	stepmom	義母
novercae filia	sorellastra	hermanastra	belle-sœur	sister, stepsister	まゝ姉妹
novercae filius	fratellastro	hermanastro	beau-frère	stepbrother, stepbro	義兄弟
Novum Aurelianum	New Orleans	Nueva Orleans	Nouvelle-Orléans	New Orleans	ニューオーリンズ
Novum Aurelium	New Orleans	Nueva Orleans	Nouvelle-Orléans	New Orleans	ニューオーリンズ
Novum Eboracum	New York; New York, Nuova York	Nueva York; Nueva York	New York; New York	New York; New York City, New York, The City of New York	ニューヨーク州; ニューヨーク
nox	notte	noche	nuit	night, nighttime, night-time	夜
nubes	nube, nuvola	nube	nuage	cloud	雲
nubilosus	nuvoloso	nublado, nuboso, nublada, nubosa	nuageux	cloudy, overcast, clouded	くもり
nucatum	torrone	turrón	nougat	nougat	
nuda	nudo, spogliato, come mamma l'ha fatto	desnudo	nu, nue, nus, nues, nu, à poil, dans le simple appareil, dans le plus simple appareil	nude, bare, naked, stark naked	裸, 全裸
nudum	nudo, spogliato, come mamma l'ha fatto	desnudo	nu, nue, nus, nues, nu, à poil, dans le simple appareil, dans le plus simple appareil	nude, bare, naked, stark naked	裸, 全裸
nudus	nudo, spogliato, come mamma l'ha fatto	desnudo	nu, nue, nus, nues, nu, à poil, dans le simple appareil, dans le plus simple appareil	nude, bare, naked, stark naked	裸, 全裸
numerabilis	numerabile	contable	nombrable	countable	
Numeri Romani	numeri romani	numeración romana		Roman numeral	
numerus	numero	número	nombre	number	
Numidae	numidi	númidas	Numides	Numidians	
Numidia	Numidia	Numidia	Numidie	Numidia	
numquam	giammai, mai	nunca, jamás	jamais	never	
nuntiare	annunciare	anunciar	annoncer	announce	
nuptiae	matrimonio; nozze, matrimonio, sposalizio	matrimonio; boda, matrimonio, nupcias, casorio, esponsales, casamiento	mariage, épousailles; mariage, noces, cérémonie de mariage, épousailles, mariage	marriage, matrimony, wedlock; wedding, wedding ceremony, nuptials, hymeneals, marriage ceremony, marriage	結婚; 結婚式, けっこんしき
nurus	nuora	nuera, hija política	belle-fille, bru	daughter-in-law	嫁
nux	noce	nuez	fruit à coque, fruit à écale	nut	
nāpus	rapa	nabo	navet	turnip, white turnip	カブ, 蕪, かぶ
oasis	oasi	oasis	oasis	oasis	オアシス
Obelix	Obelix	Obelix, Obélix	Obélix	Obelix	
obesitas	obesità	obesidad, sobrepeso	obésité	obesity	肥満
oblīvīscor	dimenticare, scordare	olvidar, desconocer	oublier	forget	忘失, 忘れる
obscuritas	mistero	misterio, enigma	mystère	mystery	ミステリー
obstetrix	levatrice	partera, partero	sage-femme	midwife	助産婦
obstō	impedire, ostacolare, intralciare	dificultar, entorpecer, estorbar	entraver	hinder	妨げる
obēsitās	obesità	obesidad, sobrepeso	obésité	obesity	肥満
occidens	ovest, occidente, ponente	oeste, occidente	ouest	west	西
occlusiva glottidalis	occlusiva glottidale sorda	oclusión glotal, oclusiva glotal sorda, saltillo	coup de glotte, consonne occlusive glottale	gottal stop, glottal stop	
occulta	mistero	misterio, enigma	mystère	mystery	ミステリー
